job,stage,condition,seed,metric,value,source
upsampling/s512_n6000_transpose_conv_seed42,upsampling,s512_n6000_transpose_conv,42,final_val_mse,0.03501964526375135,jobs/upsampling/s512_n6000_transpose_conv_seed42/attempt_001/metrics/run_summary.json
upsampling/s512_n6000_locality_aware_seed42,upsampling,s512_n6000_locality_aware,42,test_mse,0.01087505233536164,jobs/upsampling/s512_n6000_locality_aware_seed42/attempt_001/metrics/run_summary.json
upsampling/s512_n6000_locality_aware_seed42,upsampling,s512_n6000_locality_aware,42,test_ssim,0.8928121205965678,jobs/upsampling/s512_n6000_locality_aware_seed42/attempt_001/metrics/run_summary.json
upsampling/s512_n6000_locality_aware_seed42,upsampling,s512_n6000_locality_aware,42,best_val_mse,0.010831050289173921,jobs/upsampling/s512_n6000_locality_aware_seed42/attempt_001/metrics/run_summary.json
upsampling/s512_n6000_locality_aware_seed42,upsampling,s512_n6000_locality_aware,42,final_val_mse,0.010831050289173921,jobs/upsampling/s512_n6000_locality_aware_seed42/attempt_001/metrics/run_summary.json
upsampling/s128_n600_transpose_conv_seed43,upsampling,s128_n600_transpose_conv,43,test_mse,0.038306345085302985,jobs/upsampling/s128_n600_transpose_conv_seed43/attempt_001/metrics/run_summary.json
upsampling/s128_n600_transpose_conv_seed43,upsampling,s128_n600_transpose_conv,43,test_ssim,0.696383935769399,jobs/upsampling/s128_n600_transpose_conv_seed43/attempt_001/metrics/run_summary.json
upsampling/s128_n600_transpose_conv_seed43,upsampling,s128_n600_transpose_conv,43,best_val_mse,0.0384510115981102,jobs/upsampling/s128_n600_transpose_conv_seed43/attempt_001/metrics/run_summary.json
upsampling/s128_n600_transpose_conv_seed43,upsampling,s128_n600_transpose_conv,43,final_val_mse,0.0395063159763813,jobs/upsampling/s128_n600_transpose_conv_seed43/attempt_001/metrics/run_summary.json
upsampling/s128_n600_locality_aware_seed43,upsampling,s128_n600_locality_aware,43,test_mse,0.01672457190354665,jobs/upsampling/s128_n600_locality_aware_seed43/attempt_001/metrics/run_summary.json
upsampling/s128_n600_locality_aware_seed43,upsampling,s128_n600_locality_aware,43,test_ssim,0.8457132128079732,jobs/upsampling/s128_n600_locality_aware_seed43/attempt_001/metrics/run_summary.json
upsampling/s128_n600_locality_aware_seed43,upsampling,s128_n600_locality_aware,43,best_val_mse,0.016667786022027335,jobs/upsampling/s128_n600_locality_aware_seed43/attempt_001/metrics/run_summary.json
upsampling/s128_n600_locality_aware_seed43,upsampling,s128_n600_locality_aware,43,final_val_mse,0.016967217102646828,jobs/upsampling/s128_n600_locality_aware_seed43/attempt_001/metrics/run_summary.json
upsampling/s128_n3000_transpose_conv_seed43,upsampling,s128_n3000_transpose_conv,43,test_mse,0.03615104150772095,jobs/upsampling/s128_n3000_transpose_conv_seed43/attempt_001/metrics/run_summary.json
upsampling/s128_n3000_transpose_conv_seed43,upsampling,s128_n3000_transpose_conv,43,test_ssim,0.7033552343050639,jobs/upsampling/s128_n3000_transpose_conv_seed43/attempt_001/metrics/run_summary.json
upsampling/s128_n3000_transpose_conv_seed43,upsampling,s128_n3000_transpose_conv,43,best_val_mse,0.03616434648633003,jobs/upsampling/s128_n3000_transpose_conv_seed43/attempt_001/metrics/run_summary.json
upsampling/s128_n3000_transpose_conv_seed43,upsampling,s128_n3000_transpose_conv,43,final_val_mse,0.03616434648633003,jobs/upsampling/s128_n3000_transpose_conv_seed43/attempt_001/metrics/run_summary.json
upsampling/s128_n3000_locality_aware_seed43,upsampling,s128_n3000_locality_aware,43,test_mse,0.01165726010253032,jobs/upsampling/s128_n3000_locality_aware_seed43/attempt_001/metrics/run_summary.json
upsampling/s128_n3000_locality_aware_seed43,upsampling,s128_n3000_locality_aware,43,test_ssim,0.8891062326431275,jobs/upsampling/s128_n3000_locality_aware_seed43/attempt_001/metrics/run_summary.json
upsampling/s128_n3000_locality_aware_seed43,upsampling,s128_n3000_locality_aware,43,best_val_mse,0.011663745318849882,jobs/upsampling/s128_n3000_locality_aware_seed43/attempt_001/metrics/run_summary.json
